Oyun (Satis - Magazadan Alis);Satis Fiyati (TL);Oyun (Takas - Magazaya Verme);Takas Degeri (TL)
7 Days To Die;899;7 Days To Die;500
A Way Out;2999;A Way Out;2000
;;Ace Combat 7 Vr Uyumlu;600
Ace Combat 7 Vr Uyumlu;999;;
Air Conflicts Vietnam;799;Air Conflicts Vietnam;400
Alien isolation;799;Alien Isolation;400
Aliens Fireteam Elite;1299;Aliens Fireteam Elite;700
;;Among Us Crewmate Edition;700
Amoong Us Crewmate Edition;1299;;
Angry Birds Star Wars;1299;Angry Birds Star Wars;700
Anthem;899;ANTHEM;500
ARK Survival Evolved;1299;ARK Survival Evolved;700
;;Assassin's Creed 3 Remastered;700
Assassin's Creed 4 Black Flag;699;;
Assassin's Creed Ezio Collection;799;Assassin's Creed Ezio Collection;400
;;Assassin's Creed IV black Flag;350
;;Assassin's Creed Odysses;400
Assassin's Creed Odyssey;699;;
Assassin's Creed Origins;599;Assassin's Creed Origins;350
;;Assassin's Creed Rouge;500
Assassin's Creed Syndicate;599;Assassin's Creed Syndicate;350
Assassin's Creed Unity;599;Assassin's Creed Unity;350
Assassin's Creed Valhalla;799;Assassin's Creed Valhalla;450
;;Assassins Creed Mirage;800
Assassins Creed Rogue;899;;
Assassin’s Creed 3 Remastered;1299;;
Assassin’s Creed Chronicles;599;Assassin’s Creed Chronicles;350
Assassin’s Creed Mirage;1399;;
;;Asseetto Corsa;700
Assetto Corsa;1299;;
Back 4 Blood;699;Back 4 Blood;400
Baja Edge Of Control HD;999;Baja Edge Of Control HD;600
Batman Arkham Knight;499;Batman Arkham Knight;300
Batman Return To Arkham;999;Batman Return To Arkham;500
Batman The Telltale Series;499;Batman The Telltale Series;300
Battlefield 1 Türkçe;799;Battlefield 1 Türkçe;500
Battlefield 2042;899;Battlefield 2042;550
Battlefield 4;699;Battlefield 4;400
Battlefield 5;999;Battlefield 5;600
Battlefield Hardline;599;Battlefield Hardline;350
Ben 10;999;Ben 10;600
Bioshock The Collection;1199;Bioshock The Collection;700
;;Bloodborne Türkçe GOTY;700
Bloodborne Türkçe;799;Bloodborne TÜRKÇE;450
Bloodborne Türkçe GOTY;1199;;
Borderlands 3;399;Borderlands 3;200
Borderlands The Handsome Collection;399;Borderlands The Handsome Collection;200
Burnout Paradise;799;Burnout Paradise;400
Bus Driver Simulator;1199;Bus Driver Simulator;700
Call of Duty Advanced Warfare;799;Call of Duty Advanced Warfare;500
Call of Duty Black Ops 3;999;Call of Duty Black Ops 3;600
Call of Duty Black Ops 4;699;Call of Duty Black Ops 4;400
Call Of Duty Black Ops 5 Cold War;1599;Call of Duty Black Ops 5 Cold War;1000
Call Of Duty Black Ops 6;2399;Call Of Duty Black Ops 6;1700
Call Of Duty Black Ops 7;2899;Call Of Duty Black Ops 7;2200
Call of Duty Ghosts;899;Call of Duty Ghosts;550
Call Of Duty İnfinite Warfare;799;Call Of Duty İnfinite Warfare;500
Call of Duty Modern Warfare;1199;Call Of Duty Modern Warfare;700
Call of Duty Modern Warfare 2;1699;Call of Duty Modern Warfare 2;1200
Call of Duty Modern Warfare 3;1799;Call of Duty Modern Warfare 3;1300
Call of Duty Modern Warfare Remastered;1799;Call Of Duty Modern Warfare Remastered;1200
Call Of Duty Vanguard;1799;Call of Duty Vanguard;1100
Call Of Duty WW II;1499;Call Of Duty WW II;900
Captain Tsubasa;999;Captain Tsubasa;600
Cars 3;899;Cars 3;500
Civilization VI;1299;Civilization VI;700
Control;1199;Control;700
