Oyun Adı;Site Satış Fiyatı (TL);Site Alış Fiyatı (TL);Takas Farkı (TL)
Cyberpunk 2077:Ultimate Edition;2699;2000;699
Daemon X Machina: Titanic Scion;2999;2200;799
Donkey Kong Bananza;3199;2400;799
FC 26;2699;2000;699
Hitman World Of Assassination;2299;1700;599
Hogwarts Legacy;2299;1700;599
Hyrule Warriors: Age Of Imprisonment;3199;2400;799
Kirby Air Riders;3199;2400;799
Kirby And The Forgetten Land + Star-Crossed World;2999;2200;799
Little Nightmares 3;1899;1400;499
Mario Kart World;2999;2200;799
NBA 2K26;2399;1800;599
Persona 3 Reload;1999;1500;499
Pokemon Legends: Z-A;2799;2100;699
Sonic X Shadow Generations;1999;1500;499
Star Wars Outlaws;2499;1800;699
Super Mario Party Jamboree + Jamboree TV;2999;2200;799
Survival Kids;2499;1800;699
The Legend Of Zelda: Breath Of The Wild;2999;2200;799
The Legend Of Zelda: Tears Of The Kingdom;2999;2200;799
W 2K25;2499;1900;599
